project_id,complexity,team_size,budget_k,duration_weeks,stakeholder_count,risk_score,success,roi_percent
1,7,8,51,25,5,0.9750671629451425,1,73.38146036917715
2,4,13,79,20,2,0.49074877925878446,1,65.08221437341463
3,8,3,24,10,6,0.7228960966217757,1,70.54438854331057
4,5,11,63,28,5,0.8208614731533526,1,72.18474161381418
5,7,14,69,48,2,0.7184572708365536,0,56.59268111077835
6,10,13,17,7,5,0.5350367320449105,1,52.35623320593908
7,3,8,62,39,6,0.476619484126412,0,53.70241783157046
8,7,15,69,9,3,0.8385825587026248,1,92.55888600167933
9,8,5,14,34,3,0.2050775601494591,0,33.96866034054349
10,5,6,77,22,8,0.9679940665042343,0,77.76854099225663
11,4,14,15,47,3,0.7109524788367483,0,36.39515972208271
12,8,13,56,42,3,0.19950692733831976,0,55.6769670483045
13,8,6,64,30,7,0.7362471836984882,0,55.870721223744404
14,3,5,49,13,1,0.5298400231811167,0,76.41320719758103
15,6,12,61,29,7,0.7072300956444445,1,92.28928308504888
16,5,5,25,22,7,0.7677795014428388,1,59.47400290818344
17,2,5,22,42,8,0.08729017958967544,0,15.482829747460077
18,8,6,39,6,7,0.506103956359347,1,72.13479348198892
19,6,9,28,48,3,0.9320143422569341,0,21.4119896806325
20,2,6,26,16,6,0.3206421921595143,0,86.68013864223674
21,5,11,72,31,8,0.5938830975578988,1,92.59557784542373
22,1,3,28,23,8,0.3692304815098961,1,44.932919987145006
23,10,10,67,31,4,0.45426797221909965,1,43.88600773225264
24,6,9,64,11,8,0.5486031179381532,1,71.00231930845368
25,9,4,99,44,4,0.5489219798889773,1,72.37931240949254
26,1,10,99,42,8,0.20173046233023584,0,54.49866720290496
27,10,3,71,4,1,0.6845715478798333,1,88.85549032883607
28,3,13,32,6,3,0.08786811124265681,1,60.80289446972405
29,7,14,18,16,8,0.13882477344202038,1,50.43979470504909
30,4,11,21,31,3,0.0027108994143296705,0,41.123560763523095
31,9,11,10,52,3,0.11669606414168132,1,10.1107846426453
32,3,4,67,28,5,0.4731662010518922,0,60.09752161302238
33,5,9,10,36,8,0.6061018810558386,0,36.31694045525889
34,3,12,43,41,2,0.7942894499664624,0,44.43297320092515
35,7,5,57,9,5,0.10669925011343606,1,82.34194018530692
36,5,9,98,47,2,0.8507274600164547,0,74.96622009784154
37,9,14,10,48,3,0.7459745255487181,0,47.50977759546193
38,7,12,25,35,3,0.4085182929359169,0,50.29000731207143
39,2,11,70,48,5,0.9329380670999546,0,71.76651936490553
40,4,6,73,50,5,0.9909294764573906,1,62.73495544422177
